epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.909,2.15551,2.16529,0.01078,0.52166,0.51252,0.45819,0.15025,2.25844,2.1011,0.01322,0.00165598,0.00165598,0.0685363
2,237.788,2.11431,1.82136,0.01074,0.54239,0.52797,0.50012,0.18874,2.17838,3.22338,0.01207,0.00319107,0.00319107,0.0367381
3,346.382,2.07288,1.78078,0.01059,0.56531,0.55999,0.50477,0.18527,2.21425,1.74983,0.01257,0.00459416,0.00459416,0.00480784
4,454.826,2.02572,1.66468,0.01029,0.54033,0.55655,0.53632,0.19613,2.18365,1.94041,0.01232,0.004406,0.004406,0.004406
5,563.251,1.97856,1.59838,0.00993,0.66388,0.66141,0.65967,0.27845,2.04005,1.41035,0.0109,0.004208,0.004208,0.004208
6,671.59,1.93471,1.51547,0.00959,0.61,0.59356,0.58373,0.24599,2.15504,1.73681,0.01124,0.00401,0.00401,0.00401
7,779.853,1.91326,1.45673,0.00939,0.68705,0.67119,0.70669,0.29276,2.04404,1.28559,0.01129,0.003812,0.003812,0.003812
8,888.654,1.89152,1.42514,0.00919,0.66832,0.63913,0.66507,0.28145,2.01047,1.42347,0.01093,0.003614,0.003614,0.003614
9,996.942,1.87664,1.43088,0.0092,0.70031,0.69818,0.70851,0.32736,1.91162,1.2147,0.00989,0.003416,0.003416,0.003416
10,1105.33,1.85004,1.35903,0.00885,0.71514,0.71328,0.74439,0.35049,1.91325,1.14061,0.01001,0.003218,0.003218,0.003218
11,1213.67,1.82358,1.31798,0.0088,0.71273,0.71185,0.73339,0.33897,1.92381,1.16296,0.00988,0.00302,0.00302,0.00302
12,1321.86,1.80253,1.28087,0.0087,0.7258,0.73403,0.76212,0.36497,1.86145,1.07662,0.00948,0.002822,0.002822,0.002822
13,1430.14,1.79326,1.24765,0.00871,0.72739,0.73054,0.72033,0.32995,1.91296,1.20204,0.00964,0.002624,0.002624,0.002624
14,1538.23,1.76103,1.21718,0.00846,0.72647,0.73023,0.74918,0.36056,1.86772,1.15583,0.00962,0.002426,0.002426,0.002426
15,1646.28,1.7719,1.21654,0.00857,0.74359,0.73777,0.77362,0.37363,1.86685,1.06089,0.00967,0.002228,0.002228,0.002228
16,1752.67,1.74719,1.17674,0.00978,0.73526,0.74678,0.78109,0.38624,1.80703,1.04957,0.00917,0.00203,0.00203,0.00203
17,1858.36,1.68914,1.05994,0.00935,0.74299,0.74027,0.76633,0.37208,1.87057,1.09769,0.00941,0.001832,0.001832,0.001832
18,1963.91,1.66037,1.02254,0.00904,0.76202,0.72999,0.76892,0.37937,1.83329,1.07981,0.00933,0.001634,0.001634,0.001634
19,2069.36,1.65164,0.99967,0.0089,0.7713,0.77479,0.80422,0.40853,1.80414,0.96513,0.00901,0.001436,0.001436,0.001436
20,2174.92,1.62164,0.97842,0.00885,0.77193,0.78037,0.81314,0.41924,1.78779,0.935,0.00898,0.001238,0.001238,0.001238
21,2280.5,1.60138,0.94433,0.00854,0.77849,0.77403,0.80884,0.41052,1.82849,0.93888,0.00912,0.00104,0.00104,0.00104
22,2385.73,1.59011,0.91777,0.00845,0.77892,0.75651,0.81794,0.4217,1.77573,0.93538,0.00897,0.000842,0.000842,0.000842
23,2491.14,1.56266,0.89535,0.00827,0.78994,0.77968,0.82645,0.42706,1.77599,0.91223,0.00891,0.000644,0.000644,0.000644
24,2596.45,1.54998,0.87857,0.00813,0.7765,0.79061,0.82366,0.42858,1.76593,0.91622,0.00886,0.000446,0.000446,0.000446
25,2701.77,1.52646,0.85243,0.00799,0.7884,0.78632,0.82509,0.4302,1.76883,0.89253,0.00885,0.000248,0.000248,0.000248
